Player,tgt_per_game,tgt_pct_per_game
Charles Sims 2016,4.375,0.138
Charles Sims 2017,4.5714,0.1235
Charles Sims 2018,2.9375,0.0787
Charone Peake 2017,1.7857,0.0556
Charone Peake 2018,0.3333,0.0133
Charone Peake 2019,0.2308,0.0072
Chase Coffman 2014,0.2,0.0034
Chase Coffman 2015,1.0769,0.0388
Chase Coffman 2016,5.5,0.1673
Chase Coffman 2017,0.0,0.0
Chase Edmonds 2019,1.4375,0.0469
Chase Ford 2015,3.1818,0.0902
Chase Reynolds 2014,0.0,0.0
Chase Reynolds 2015,0.0,0.0
Chase Reynolds 2016,0.0,0.0
Chase Reynolds 2017,0.0667,0.0024
Chester Rogers 2017,2.5833,0.0725
Chester Rogers 2018,3.3636,0.1237
Chester Rogers 2019,4.5,0.1084
Chris Carson 2018,2.0,0.0614
Chris Carson 2019,1.7143,0.0723
Chris Conley 2016,1.9375,0.0592
Chris Conley 2017,4.3125,0.1306
Chris Conley 2018,3.2,0.1017
Chris Conley 2019,3.25,0.0881
Chris Givens 2014,5.1875,0.1698
Chris Givens 2015,1.5,0.0491
Chris Givens 2016,2.375,0.058649999999999994
Chris Godwin 2018,3.4375,0.0938
Chris Godwin 2019,5.9375,0.1554
Chris Gragg 2014,0.7778,0.0222
Chris Gragg 2015,1.0,0.0292
Chris Gragg 2016,1.5385,0.0464
Chris Gragg 2017,,
Chris Harper 2014,,
Chris Harper 2017,2.8571,0.105
Chris Herndon 2019,4.0,0.1178
Chris Hogan 2014,1.0625,0.0337
Chris Hogan 2015,3.8125,0.0978
Chris Hogan 2016,3.6875,0.1189
Chris Hogan 2017,3.8667,0.1156
Chris Hogan 2018,6.5556,0.1691
Chris Hogan 2019,3.3125,0.0969
Chris Ivory 2014,0.4667,0.0147
Chris Ivory 2015,1.6875,0.0516
Chris Ivory 2016,2.4667,0.0671
Chris Ivory 2017,2.5455,0.0688
Chris Ivory 2018,2.0,0.0591
Chris Ivory 2019,1.6154,0.0522
Chris Johnson 2014,3.25,0.0975
Chris Johnson 2015,2.125,0.0701
Chris Johnson 2016,1.1818,0.0333
Chris Johnson 2017,0.25,0.0056
Chris Johnson 2018,1.5,0.031
Chris Lacy 2019,1.0,0.0323
Chris Manhertz 2017,0.5,0.0122
Chris Manhertz 2018,0.4444,0.0153
Chris Manhertz 2019,0.3125,0.0098
Chris Matthews 2016,2.5,0.0638
Chris Matthews 2017,,
Chris Matthews 2018,1.0,0.0255
Chris Moore 2017,1.0667,0.0244
Chris Moore 2018,2.9231,0.075
Chris Moore 2019,1.5625,0.0494
Chris Ogbonnaya 2014,4.6875,0.1112
Chris Ogbonnaya 2015,0.1,0.00255
Chris Owusu 2014,2.2222,0.0712
Chris Owusu 2015,0.73335,0.02355
Chris Owusu 2016,4.3333,0.1469
Chris Pantale 2015,0.0,0.0
Chris Polk 2014,0.3333,0.0113
Chris Polk 2015,0.2143,0.0049
Chris Polk 2016,1.8667,0.0433
Chris Thompson 2014,0.0,0.0
Chris Thompson 2015,3.5,0.124
Chris Thompson 2016,3.6923,0.0972
Chris Thompson 2017,3.875,0.1029
Chris Thompson 2018,2.93075,0.08715
Chris Thompson 2019,5.0,0.1623
Chris Williams 2015,0.0,0.0
Christian Kirk 2019,5.6667,0.2152
Christian McCaffrey 2018,7.0625,0.2266
Christian McCaffrey 2019,7.75,0.227
Christine Michael 2014,0.0,0.0
Christine Michael 2015,0.2,0.0089
Christine Michael 2016,0.8,0.0258
Christine Michael 2017,1.69445,0.049350000000000005
Christine Michael 2019,0.0,0.0
Cierre Wood 2014,0.0,0.0
Cierre Wood 2016,0.5,0.0119
Clay Harbor 2014,2.1875,0.0604
Clay Harbor 2015,2.6923,0.0761
Clay Harbor 2016,1.3333,0.0358
Clay Harbor 2017,0.13635,0.0046
Clive Walford 2016,3.125,0.0921
Clive Walford 2017,3.4667,0.095
Clive Walford 2018,1.0,0.0265
Clive Walford 2019,0.0,0.0
Clyde Gates 2014,4.0,0.1199
Cobi Hamilton 2017,2.5455,0.07
Cobi Hamilton 2018,2.0,0.084
Coby Fleener 2014,5.4375,0.145
Coby Fleener 2015,5.75,0.1451
Coby Fleener 2016,5.25,0.1393
Coby Fleener 2017,5.125,0.1209
Coby Fleener 2018,2.7273,0.0764
Cody Core 2017,3.375,0.1045
Cody Core 2018,0.3077,0.0104
Cody Core 2019,2.0,0.068
Cody Latimer 2015,0.5,0.0127
Cody Latimer 2016,0.8571,0.0232
Cody Latimer 2017,1.25,0.0398
Cody Latimer 2018,2.8182,0.0871
Cody Latimer 2019,2.6667,0.0694
Cole Beasley 2014,3.8571,0.1098
Cole Beasley 2015,3.0625,0.1017
Cole Beasley 2016,4.6875,0.1403
Cole Beasley 2017,6.125,0.2081
Cole Beasley 2018,4.2,0.1363
Cole Beasley 2019,5.375,0.1731
Cole Hikutini 2018,0.75,0.0205
Cole Wick 2017,0.5,0.0133
Cole Wick 2019,0.2,0.0037
Collin Mooney 2014,0.5,0.0156
Connor Hamlett 2017,0.3333,0.0095
Cooper Helfet 2015,2.6667,0.0952
Cooper Helfet 2016,1.5714,0.0505
Cooper Kupp 2018,6.2667,0.1949
Cooper Kupp 2019,7.0,0.207
Cordarrelle Patterson 2014,4.8125,0.1579
Cordarrelle Patterson 2015,4.1875,0.1245
Cordarrelle Patterson 2016,0.125,0.0035
Cordarrelle Patterson 2017,4.375,0.121
Cordarrelle Patterson 2018,2.625,0.0744
Cordarrelle Patterson 2019,1.8667,0.0553
Corey Brown 2015,2.7692,0.0792
Corey Brown 2016,3.8571,0.1301
Corey Brown 2017,3.3125,0.0963
Corey Clement 2018,0.9375,0.0253
Corey Clement 2019,2.2727,0.0608
Corey Coleman 2017,7.3,0.2268
Corey Coleman 2018,6.3333,0.1973
Corey Coleman 2019,1.0,0.0338
Corey Davis 2018,5.9091,0.1854
Corey Davis 2019,7.0,0.2623
Corey Fuller 2015,1.9375,0.0523
Corey Fuller 2016,0.75,0.0162
Corey Fuller 2017,,
Corey Grant 2016,0.5,0.0144
Corey Grant 2017,0.6364,0.0168
Corey Grant 2018,0.25,0.011
Corey Grant 2019,2.4,0.0594
Corey Washington 2015,0.875,0.0187
Cory Harkey 2014,1.2,0.0517
Cory Harkey 2015,0.6875,0.0245
Cory Harkey 2016,0.375,0.0126
Cory Harkey 2017,0.0,0.0
Courtland Sutton 2019,5.25,0.1588
Courtney Roby 2015,0.5,0.0178
Craig Stevens 2014,0.4,0.0142
Craig Stevens 2015,0.4,0.0121
Craig Stevens 2016,1.0,0.0284
Crockett Gillmore 2015,1.0,0.0311
